"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"64",8200,16,0,0,0,-0.207024255694769,-0.0184905115973094,-0.0303054853879648
"65",500,17,0,0,0,-0.293686066981687,-0.290072730255653,-0.0893260116174897
"66",1100,17,0,0,0,-0.178522863878898,-0.309726116730172,0.00417695634941695
"67",3000,17,0,0,0,-0.167703960466605,0.0947006425712447,0.0305255310575965
"68",8200,17,0,0,0,-0.18180869817214,0.0311477369506583,0.00140967404177261
"69",500,18,0,0,0,-0.160178989121713,0.0223139452388004,0.0240853561849357
"70",1100,18,0,0,0,-0.198534699786391,-0.270762899901588,-0.0342153701852393
"71",3000,18,0,0,0,-0.174610660245342,-0.283117189379625,-0.00227990196099692
"72",8200,18,0,0,0,-0.181688151076844,-0.0217630169996916,-0.00596518157492587
"73",500,19,0,0,0,-0.225611511515972,-0.140614034556945,-0.107468062254522
"74",1100,19,0,0,0,-0.211438949913314,-0.0274570394062503,-0.0714952120692242
"75",3000,19,0,0,0,-0.187143539662752,-0.0212955242880474,-0.021202073414519
"76",8200,19,0,0,0,-0.190731767390612,0.00895796410658778,0.0084336010951036
"77",500,20,0,0,0,-0.160472969431398,-0.250244746110153,-0.0221818093044605
"78",1100,20,0,0,0,-0.131604996301019,-0.0286351861486563,0.112398034593526
"79",3000,20,0,0,0,-0.187160373892794,-0.299171717374544,-0.00287595365431759
"80",8200,20,0,0,0,-0.199229242334764,-0.00642168205607807,-0.00833380538131778
"81",500,21,0,0,0,-0.116003397555458,-0.159215986873317,-0.0095206713926983
"82",1100,21,0,0,0,-0.164208348698397,-0.00913480845708714,0.0499386964727786
"83",3000,21,0,0,0,-0.180561765292685,0.0149596665406377,0.0306952475842086
"84",8200,21,0,0,0,-0.170124570206612,0.0698312193913102,0.0170084025818336
"85",500,22,0,0,0,-0.217077772565139,-0.147631363342381,-0.0125912083082522
"86",1100,22,0,0,0,-0.24649057678763,0.0184952363956736,-0.040822565984908
"87",3000,22,0,0,0,-0.230113018784603,-0.0819617948065359,-0.0609061932706404
"88",8200,22,0,0,0,-0.177742486166795,0.015557636129711,0.0139613330442394
"89",500,23,0,0,0,-0.202823824681947,-0.0708251623120923,-0.0677093930660296
